Temperature [K],Pressure [MPa],Liquid Density [kg/m3],Liquid Viscosity [Pa s],Liquid Thermal Conductivity [W/m K],Surface Tension [N/m],Vapour Density [kg/m3],Vapour Viscosity [Pa s],Vapour Thermal Conductivity [W/m K]
216.592,0.51796434,1178.4626,0.00025337779,0.17716084,0,13.760885,1.0891702e-05,0.0111163
218.37845,0.55939911,1172.0285,0.00024588015,0.17492258,0,14.811043,1.0980571e-05,0.01127575
220.16491,0.60328685,1165.5382,0.00023863599,0.17269367,0,15.922682,1.1070041e-05,0.011438787
221.95136,0.64971755,1158.9893,0.00023163497,0.17047376,0,17.098508,1.1160168e-05,0.011605621
223.73781,0.69878214,1152.379,0.00022486722,0.16826253,0,18.341348,1.1251014e-05,0.011776481
225.52427,0.75057251,1145.7048,0.00021832323,0.16605963,0,19.654159,1.1342645e-05,0.011951614
227.31072,0.80518143,1138.9638,0.0002119939,0.16386474,0,21.040037,1.1435133e-05,0.012131291
229.09717,0.86270258,1132.1529,0.00020587047,0.16167752,0,22.502233,1.1528554e-05,0.012315809
230.88362,0.92323053,1125.269,0.00019994455,0.15949766,0,24.044163,1.1622991e-05,0.012505491
232.67008,0.98686073,1118.3086,0.00019420803,0.15732485,0,25.669427,1.1718533e-05,0.012700691
234.45653,1.0536895,1111.2683,0.00018865313,0.15515875,0,27.381827,1.1815276e-05,0.0129018
236.24298,1.1238141,1104.144,0.00018327236,0.15299906,0,29.18538,1.1913325e-05,0.013109245
238.02944,1.1973327,1096.9319,0.00017805847,0.15084545,0,31.084349,1.2012793e-05,0.013323498
239.81589,1.2743442,1089.6275,0.00017300448,0.14869759,0,33.083262,1.2113802e-05,0.013545083
241.60234,1.3549488,1082.2261,0.00016810362,0.14655514,0,35.186938,1.2216487e-05,0.013774578
243.3888,1.4392475,1074.7227,0.00016334932,0.14441775,0,37.400523,1.2320992e-05,0.014012627
245.17525,1.5273421,1067.1119,0.00015873524,0.14228504,0,39.729519,1.2427477e-05,0.014259948
246.9617,1.6193359,1059.3877,0.00015425518,0.14015664,0,42.179829,1.2536116e-05,0.014517346
248.74816,1.715333,1051.5438,0.00014990311,0.13803211,0,44.757799,1.2647101e-05,0.014785717
250.53461,1.8154387,1043.5731,0.00014567316,0.13591103,0,47.470272,1.276064e-05,0.015066072
252.32106,1.9197597,1035.4681,0.00014155958,0.13379294,0,50.32465,1.2876968e-05,0.015359544
254.10751,2.0284042,1027.2204,0.00013755679,0.13167736,0,53.328967,1.299634e-05,0.015667411
255.89397,2.1414816,1018.8211,0.00013365932,0.12956381,0,56.491973,1.3119043e-05,0.01599112
257.68042,2.2591031,1010.2603,0.00012986184,0.12745177,0,59.823231,1.3245395e-05,0.016332311
259.46687,2.3813819,1001.5274,0.00012615912,0.12534075,0,63.333236,1.3375751e-05,0.016692858
261.25333,2.5084329,992.6107,0.00012254607,0.12323024,0,67.033555,1.3510513e-05,0.017074908
263.03978,2.6403734,983.49737,0.00011901765,0.12111972,0,70.936988,1.3650131e-05,0.017480938
264.82623,2.7773232,974.17326,0.00011556887,0.11900868,0,75.05777,1.3795118e-05,0.017913823
266.61269,2.9194047,964.62263,0.00011219477,0.11689658,0,79.411808,1.3946057e-05,0.018376916
268.39914,3.0667434,954.82785,0.00010889032,0.11478284,0,84.01697,1.4103617e-05,0.018874152
270.18559,3.2194683,944.76895,0.00010565044,0.11266684,0,88.893452,1.4268569e-05,0.019410183
271.97204,3.3777121,934.42321,0.00010246985,0.11054794,0,94.064223,1.4441807e-05,0.019990537
273.7585,3.5416118,923.76445,9.93431e-05,0.10842544,0,99.555591,1.4624379e-05,0.020621839
275.54495,3.7113095,912.76239,9.6264428e-05,0.10629861,0,105.39793,1.4817517e-05,0.021312088
277.3314,3.8869529,901.3816,9.3227702e-05,0.10416677,0,111.62663,1.5022688e-05,0.022071034
279.11786,4.0686961,889.58027,9.0226288e-05,0.10202933,0,118.28332,1.5241655e-05,0.022910685
280.90431,4.256701,877.30844,8.7252892e-05,0.099885931,0,125.41756,1.5476561e-05,0.023846011
282.69076,4.4511385,864.50563,8.4299328e-05,0.097736664,0,133.08907,1.5730046e-05,0.024895941
284.47722,4.6521897,851.09747,8.1356204e-05,0.095582435,0,141.37097,1.6005414e-05,0.026084803
286.26367,4.8600483,836.99097,7.8412505e-05,0.09342559,0,150.35427,1.6306869e-05,0.027444484
288.05012,5.0749225,822.0679,7.5455035e-05,0.091271064,0,160.15467,1.6639884e-05,0.029017767
289.83658,5.2970388,806.17523,7.2467655e-05,0.089128585,0,170.9228,1.7011756e-05,0.030863722
291.62303,5.5266466,789.11002,6.9430069e-05,0.087017116,0,182.86082,1.7432522e-05,0.033066868
293.40948,5.7640262,770.59312,6.6315537e-05,0.084974324,0,196.25048,1.7916542e-05,0.035753812
295.19593,6.0095011,750.21669,6.308601e-05,0.083077899,0,211.50419,1.8485417e-05,0.039126226
296.98239,6.2634565,727.33096,5.9681457e-05,0.081495886,0,229.26744,1.9173952e-05,0.043534529
298.76884,6.5263664,700.78483,5.5996448e-05,0.080609333,0,250.65418,2.0044104e-05,0.04967382
300.55529,6.7988449,668.25168,5.1823042e-05,0.081348056,0,277.91869,2.1225505e-05,0.059268057
302.34175,7.0818015,623.52143,4.6622183e-05,0.087026898,0,317.29529,2.3090726e-05,0.079022525
304.1282,7.3772984,467.6,3.2352595e-05,0.045076853,0,467.6,3.2352595e-05,0.045076853
