Temperature [K],Pressure [MPa],Liquid Density [kg/m3],Liquid Viscosity [Pa s],Liquid Thermal Conductivity [W/m K],Surface Tension [N/m],Vapour Density [kg/m3],Vapour Viscosity [Pa s],Vapour Thermal Conductivity [W/m K]
216.592,0.51796434,1178.4626,0.00025337779,0.17716084,0,13.760885,1.0891702e-05,0.0111163
217.4762,0.53817147,1175.285,0.0002496345,0.17605182,0,14.273141,1.0935616e-05,0.011194784
218.36041,0.55896846,1172.0938,0.0002459546,0.17494514,0,14.800133,1.0979671e-05,0.011274122
219.24461,0.58036613,1168.8889,0.00024233682,0.17384074,0,15.342177,1.1023872e-05,0.011354337
220.12882,0.60237536,1165.6699,0.00023877989,0.1727386,0,15.899598,1.1068227e-05,0.011435456
221.01302,0.62500709,1162.4366,0.00023528257,0.17163867,0,16.472729,1.1112743e-05,0.011517504
221.89722,0.64827232,1159.1886,0.00023184365,0.17054091,0,17.061906,1.1157427e-05,0.011600508
222.78143,0.67218209,1155.9256,0.00022846193,0.16944527,0,17.667478,1.1202286e-05,0.011684495
223.66563,0.69674752,1152.6473,0.00022513626,0.16835171,0,18.289796,1.1247329e-05,0.011769496
224.54984,0.72197976,1149.3534,0.00022186549,0.1672602,0,18.929223,1.1292563e-05,0.011855541
225.43404,0.74789004,1146.0435,0.00021864851,0.16617069,0,19.58613,1.1337998e-05,0.011942662
226.31824,0.77448963,1142.7173,0.00021548422,0.16508315,0,20.260894,1.1383641e-05,0.012030892
227.20245,0.80178985,1139.3743,0.00021237155,0.16399754,0,20.953905,1.1429502e-05,0.012120267
228.08665,0.82980208,1136.0143,0.00020930944,0.16291381,0,21.66556,1.1475591e-05,0.012210822
228.97086,0.85853776,1132.6369,0.00020629686,0.16183193,0,22.396267,1.1521916e-05,0.012302597
229.85506,0.88800837,1129.2416,0.0002033328,0.16075185,0,23.146443,1.1568489e-05,0.012395629
230.73926,0.91822545,1125.8281,0.00020041627,0.15967355,0,23.916517,1.161532e-05,0.012489963
231.62347,0.94920059,1122.3959,0.00019754629,0.15859697,0,24.70693,1.1662419e-05,0.01258564
232.50767,0.98094544,1118.9447,0.00019472191,0.15752209,0,25.518134,1.1709799e-05,0.012682708
233.39188,1.0134717,1115.4739,0.00019194219,0.15644887,0,26.350594,1.1757471e-05,0.012781213
234.27608,1.0467911,1111.9831,0.00018920621,0.15537725,0,27.204787,1.1805447e-05,0.012881206
235.16028,1.0809155,1108.472,0.00018651306,0.15430722,0,28.081205,1.185374e-05,0.012982739
236.04449,1.1158567,1104.9399,0.00018386185,0.15323872,0,28.980354,1.1902363e-05,0.013085868
236.92869,1.1516266,1101.3864,0.00018125172,0.15217172,0,29.902753,1.195133e-05,0.013190651
237.8129,1.1882373,1097.8109,0.00017868181,0.15110618,0,30.848941,1.2000657e-05,0.013297149
238.6971,1.2257006,1094.213,0.00017615126,0.15004206,0,31.81947,1.2050357e-05,0.013405425
